title,link,authors,publication
A reinforcement learning: great-deluge hyper-heuristic for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:-f6ydRqryjwC,"E Özcan, M Misir, G Ochoa, EK Burke","Modeling, analysis, and applications in metaheuristic computing …, 2012"
An introduction to multiobjective metaheuristics for scheduling and timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:PELIpwtuRlgC,"J Silva, EK Burke, S Petrovic","Metaheuristics for multiobjective optimisation, 91-129, 2004"
Hybrid metaheuristics to aid runway scheduling at London Heathrow airport,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:EkHepimYqZsC,"JAD Atkin, EK Burke, JS Greenwood, D Reeson","Transportation Science 41 (1), 90-106, 2007"
A genetic programming hyper-heuristic approach for evolving 2-D strip packing heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:0N-VGjzr574C,"EK Burke, M Hyde, G Kendall, J Woodward","IEEE Transactions on Evolutionary Computation 14 (6), 942-958, 2010"
Automatic heuristic generation with genetic programming: evolving a jack-of-all-trades or a master of one,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:N5tVd3kTz84C,"EK Burke, MR Hyde, G Kendall, J Woodward","Proceedings of the 9th annual conference on Genetic and evolutionary …, 2007"
RNA FRABASE 2.0: an advanced web-accessible database with the capacity to search the three-dimensional fragments within RNA structures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:XvxMoLDsR5gC,"M Popenda, M Szachniuk, M Blazewicz, S Wasik, EK Burke, J Blazewicz, ...","BMC bioinformatics 11 (1), 1-12, 2010"
A scatter search methodology for the nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:k8Z6L05lTy4C,"EK Burke, T Curtois, R Qu, G Vanden Berghe","Journal of the Operational Research Society 61 (11), 1667-1679, 2010"
Investigating Ahuja–Orlin’s large neighbourhood search approach for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:Y5dfb0dijaUC,"S Abdullah, S Ahmadi, EK Burke, M Dror","OR Spectrum 29 (2), 351-372, 2007"
An investigation of variable neighbourhood search for university course timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:eq2jaN3J8jMC,"S Abdullah, EK Burke, B Mccollum","The 2th Multidisciplinary Conference on Scheduling: Theory and Applications …, 2005"
A survey and analysis of diversity measures in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:HE397vMXCloC,"E Burke, S Gustafson, G Kendall","Proceedings of the 4th Annual Conference on Genetic and Evolutionary …, 2002"
A shift sequence based approach for nurse scheduling and a new benchmark dataset,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:MLfJN-KU85MC,"P Brucker, EK Burke, T Curtois, R Qu, G Vanden Berghe","Journal of Heuristics 16 (4), 559-573, 2010"
The airport ground movement problem: Past and current research and future directions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:a3BOlSfXSfwC,"JAD Atkin, EK Burke, S Ravizza","Proceedings of the 4th international conference on research in air …, 2010"
Using a randomised iterative improvement algorithm with composite neighbourhood structures for the university course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:JoZmwDi-zQgC,"S Abdullah, EK Burke, B McCollum","Metaheuristics, 153-169, 2007"
Metaheuristics for handling time interval coverage constraints in nurse scheduling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:tKAzc9rXhukC,"EK Burke, PD Causmaecker, S Petrovic, GV Berghe","Applied Artificial Intelligence 20 (9), 743-766, 2006"
A hybrid evolutionary approach to the nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:KbBQZpvPDL4C,"R Bai, EK Burke, G Kendall, J Li, B McCollum","IEEE Transactions on Evolutionary Computation 14 (4), 580-590, 2010"
A simulated annealing enhancement of the best-fit heuristic for the orthogonal stock-cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ZfRJV9d4-WMC,"EK Burke, G Kendall, G Whitwell","INFORMS Journal on Computing 21 (3), 505-516, 2009"
The late acceptance hill-climbing heuristic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ShjGdcaqzI0C,"EK Burke, Y Bykov","European Journal of Operational Research 258 (1), 70-78, 2017"
Adaptive automated construction of hybrid heuristics for exam timetabling and graph colouring problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:t7zJ5fGR-2UC,"R Qu, EK Burke, B McCollum","European Journal of Operational Research 198 (2), 392-404, 2009"
An estimation of distribution algorithm with intelligent local search for rule-based nurse rostering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:ye4kPcJQO24C,"U Aickelin, EK Burke, J Li","Journal of the Operational Research Society 58 (12), 1574-1585, 2007"
